day,co2_ppm
05,421
05,420
05,421
05,420
05,420
05,424
05,424
05,424
05,425
05,422
05,429
05,428
05,429
05,428
05,426
05,423
05,419
05,417
05,421
05,423
05,422
05,423
05,424
05,424
05,423
05,422
05,422
05,420
05,422
05,420
05,422
05,422
05,425
05,420
05,426
05,422
05,422
05,424
05,425
05,422
05,422
05,422
05,422
05,420
05,422
05,420
05,419
05,418
05,419
05,420
05,419
05,417
05,417
05,416
05,416
05,416
05,417
05,418
05,416
05,418
05,415
05,416
05,417
05,417
05,418
05,416
05,415
05,418
05,417
05,420
05,421
05,420
05,419
05,415
05,417
05,418
05,418
05,418
05,418
05,418
05,418
05,418
05,418
05,417
05,416
05,417
05,417
05,417
05,417
05,418
05,418
05,417
05,417
05,415
05,417
05,418
05,420
05,422
05,419
05,419
05,420
05,419
05,418
05,424
05,424
05,426
05,424
05,424
05,423
05,423
05,420
05,423
05,420
05,424
06,423
06,422
06,422
06,423
06,422
06,421
06,421
06,422
06,424
06,424
06,423
06,424
06,424
06,424
06,423
06,421
06,422
06,420
06,421
06,420
06,420
06,425
06,422
06,421
06,422
06,422
06,423
06,422
06,420
06,420
06,424
06,427
06,437
06,437
06,429
06,431
06,435
06,434
06,437
06,432
06,428
06,434
06,427
06,424
06,423
06,422
06,422
06,420
06,421
06,420
06,419
06,419
06,419
06,418
06,417
06,417
06,418
06,417
06,419
06,417
06,417
06,417
06,417
06,416
06,418
06,418
06,418
06,419
06,419
06,416
06,417
06,419
06,418
06,418
06,418
06,417
06,419
06,414
06,419
06,417
06,416
06,418
06,419
06,417
06,418
06,419
06,417
06,417
06,418
06,417
06,417
06,416
06,416
06,416
06,417
06,418
06,415
06,415
06,415
06,417
06,416
06,417
06,423
06,422
06,422
06,423
06,422
06,421
06,421
06,422
06,424
06,424
06,423
06,424
06,424
06,424
06,423
06,421
06,422
06,420
06,421
06,420
06,420
06,425
06,422
06,421
06,422
06,422
06,423
06,422
06,420
06,420
06,424
06,427
06,437
06,437
06,429
06,431
06,435
06,434
06,437
06,432
06,428
06,434
06,427
06,424
06,423
06,422
06,422
06,420
06,421
06,420
06,419
06,419
06,419
06,418
06,417
06,417
06,418
06,417
06,419
06,417
06,417
06,417
06,417
06,416
06,418
06,418
06,418
06,419
06,419
06,416
06,417
06,419
06,418
06,418
06,418
06,417
06,419
06,414
06,419
06,417
06,416
06,418
06,419
06,417
06,418
06,419
06,417
06,417
06,418
06,417
06,417
06,416
06,416
06,416
06,417
06,418
06,415
06,415
06,415
06,417
06,416
06,417
07,415
07,415
07,416
07,416
07,415
07,415
07,414
07,414
07,416
07,416
07,417
07,415
07,416
07,416
07,414
07,415
07,414
07,414
07,413
07,414
07,414
07,412
07,411
07,413
07,414
07,412
07,411
07,412
07,413
07,413
07,411
07,412
07,411
07,410
07,412
07,411
07,412
07,412
07,413
07,405
07,403
07,401
07,403
07,404
07,405
07,404
07,405
07,403
07,405
07,406
07,404
07,403
07,406
07,405
07,405
07,405
07,405
07,405
07,404
07,404
07,404
07,405
07,405
07,404
07,406
07,411
07,413
07,409
07,407
07,407
07,409
07,408
07,411
07,410
07,409
07,407
07,407
07,406
07,405
07,403
07,402
07,402
07,403
07,403
07,401
07,401
07,401
07,403
07,403
07,402
07,402
07,402
07,401
07,405
07,405
07,404
07,404
07,412
07,410
07,409
07,408
07,410
07,409
07,404
07,405
07,404
07,402
07,404
07,402
07,400
07,401
07,400
07,399
07,403
07,403
07,405
07,402
07,402
07,402
07,402
07,399
07,400
07,401
07,401
07,399
07,401
07,400
07,401
07,400
07,399
07,400
07,399
07,399
07,398
07,398
07,399
07,397
07,398
07,398
07,399
07,400
07,399
07,398
07,397
07,415
07,415
07,416
07,416
07,415
07,415
07,414
07,414
07,416
07,416
07,417
07,415
07,416
07,416
07,414
07,415
07,414
07,414
07,413
07,414
07,414
07,412
07,411
07,413
07,414
07,412
07,411
07,412
07,413
07,413
07,411
07,412
07,411
07,410
07,412
07,411
07,412
07,412
07,413
07,405
07,403
07,401
07,403
07,404
07,405
07,404
07,405
07,403
07,405
07,406
07,404
07,403
07,406
07,405
07,405
07,405
07,405
07,405
07,404
07,404
07,404
07,405
07,405
07,404
07,406
07,411
07,413
07,409
07,407
07,407
07,409
07,408
07,411
07,410
07,409
07,407
07,407
07,406
07,405
07,403
07,402
07,402
07,403
07,403
07,401
07,401
07,401
07,403
07,403
07,402
07,402
07,402
07,401
07,405
07,405
07,404
07,404
07,412
07,410
07,409
07,408
07,410
07,409
07,404
07,405
07,404
07,402
07,404
07,402
07,400
07,401
07,400
07,399
07,403
07,403
07,405
07,402
07,402
07,402
07,402
07,399
07,400
07,401
07,401
07,399
07,401
07,400
07,401
07,400
07,399
07,400
07,399
07,399
07,398
07,398
07,399
07,397
07,398
07,398
07,399
07,400
07,399
07,398
07,397
08,397
08,395
08,397
08,396
08,398
08,397
08,397
08,395
08,395
08,397
08,397
08,397
08,397
08,395
08,397
08,397
08,397
08,397
08,396
08,396
08,395
08,396
08,396
08,396
08,396
08,397
08,397
08,395
08,396
08,397
08,396
08,396
08,396
08,398
08,397
08,398
08,398
08,397
08,400
08,398
08,400
08,399
08,400
08,402
08,402
08,402
08,402
08,402
08,403
08,405
08,404
08,405
08,403
08,402
08,400
08,400
08,400
08,399
08,401
08,400
08,399
08,399
08,402
08,401
08,399
08,397
08,397
08,396
08,397
08,396
08,397
08,398
08,398
08,398
08,397
08,396
08,397
08,396
08,400
08,400
08,399
08,398
08,399
08,399
08,396
08,397
08,397
08,397
08,397
08,397
08,398
08,396
08,396
08,395
08,399
08,399
08,397
08,395
08,397
08,396
08,398
08,397
08,397
08,395
08,395
08,397
08,397
08,397
08,397
08,395
08,397
08,397
08,397
08,397
08,396
08,396
08,395
08,396
08,396
08,396
08,396
08,397
08,397
08,395
08,396
08,397
08,396
08,396
08,396
08,398
08,397
08,398
08,398
08,397
08,400
08,398
08,400
08,399
08,400
08,402
08,402
08,402
08,402
08,402
08,403
08,405
08,404
08,405
08,403
08,402
08,400
08,400
08,400
08,399
08,401
08,400
08,399
08,399
08,402
08,401
08,399
08,397
08,397
08,396
08,397
08,396
08,397
08,398
08,398
08,398
08,397
08,396
08,397
08,396
08,400
08,400
08,399
08,398
08,399
08,399
08,396
08,397
08,397
08,397
08,397
08,397
08,398
08,396
08,396
08,395
08,399
08,399
09,399
09,401
09,398
09,398
09,399
09,396
09,397
09,397
09,397
09,396
09,395
09,396
09,395
09,396
09,395
09,395
09,396
09,394
09,395
09,393
09,394
09,393
09,394
09,393
09,393
09,395
09,393
09,393
09,393
09,396
09,396
09,396
09,395
09,395
09,395
09,397
09,394
09,397
09,397
09,397
09,397
09,397
09,394
09,398
09,396
09,396
09,397
09,398
09,398
09,398
09,399
09,398
09,397
09,399
09,397
09,399
09,397
09,397
09,398
09,397
09,399
09,398
09,399
09,399
09,400
09,397
09,399
09,398
09,399
09,398
09,400
09,399
09,399
09,399
09,399
09,399
09,399
09,401
09,401
09,400
09,403
09,402
09,402
09,401
09,401
09,400
09,401
09,402
09,401
09,401
09,401
09,403
09,402
09,402
09,406
09,408
09,406
09,405
09,406
09,407
09,406
09,406
09,409
09,409
09,411
09,411
09,412
09,413
09,411
09,411
09,412
09,415
09,415
09,413
09,411
09,412
09,414
09,417
09,415
09,416
09,418
09,420
09,422
09,420
09,420
09,417
09,419
09,417
09,417
09,417
09,417
09,418
09,418
09,421
09,423
09,421
09,420
09,420
09,423
09,422
09,422
09,420
09,419
09,417
09,399
09,401
09,398
09,398
09,399
09,396
09,397
09,397
09,397
09,396
09,395
09,396
09,395
09,396
09,395
09,395
09,396
09,394
09,395
09,393
09,394
09,393
09,394
09,393
09,393
09,395
09,393
09,393
09,393
09,396
09,396
09,396
09,395
09,395
09,395
09,397
09,394
09,397
09,397
09,397
09,397
09,397
09,394
09,398
09,396
09,396
09,397
09,398
09,398
09,398
09,399
09,398
09,397
09,399
09,397
09,399
09,397
09,397
09,398
09,397
09,399
09,398
09,399
09,399
09,400
09,397
09,399
09,398
09,399
09,398
09,400
09,399
09,399
09,399
09,399
09,399
09,399
09,401
09,401
09,400
09,403
09,402
09,402
09,401
09,401
09,400
09,401
09,402
09,401
09,401
09,401
09,403
09,402
09,402
09,406
09,408
09,406
09,405
09,406
09,407
09,406
09,406
09,409
09,409
09,411
09,411
09,412
09,413
09,411
09,411
09,412
09,415
09,415
09,413
09,411
09,412
09,414
09,417
09,415
09,416
09,418
09,420
09,422
09,420
09,420
09,417
09,419
09,417
09,417
09,417
09,417
09,418
09,418
09,421
09,423
09,421
09,420
09,420
09,423
09,422
09,422
09,420
09,419
09,417
10,417
10,414
10,414
10,415
10,414
10,413
10,413
10,415
10,415
10,414
10,414
10,413
10,412
10,415
10,415
10,412
10,411
10,411
10,410
10,410
10,409
10,410
10,409
10,409
10,411
10,411
10,411
10,411
10,412
10,412
10,411
10,411
10,414
10,412
10,410
10,412
10,415
10,415
10,417
10,416
10,418
10,418
10,419
10,419
10,419
10,421
10,421
10,423
10,425
10,421
10,422
10,421
10,420
10,420
10,419
10,419
10,418
10,418
10,416
10,419
10,417
10,415
10,416
10,416
10,417
10,415
10,416
10,416
10,416
10,415
10,413
10,415
10,414
10,414
10,412
10,414
10,414
10,412
10,413
10,414
10,414
10,412
10,413
10,414
10,416
10,414
10,415
10,415
10,415
10,417
10,416
10,417
10,416
10,417
10,419
10,420
10,421
10,422
10,421
10,421
10,423
10,425
10,422
10,425
10,427
10,432
10,430
10,430
10,428
10,428
10,426
10,426
10,430
10,431
10,432
10,431
10,428
10,425
10,426
10,425
10,425
10,426
10,424
10,423
10,424
10,423
10,425
10,422
10,422
10,426
10,432
10,438
10,443
10,446
10,446
10,439
10,448
10,450
10,446
10,453
10,456
10,457
10,449
10,446
10,417
10,414
10,414
10,415
10,414
10,413
10,413
10,415
10,415
10,414
10,414
10,413
10,412
10,415
10,415
10,412
10,411
10,411
10,410
10,410
10,409
10,410
10,409
10,409
10,411
10,411
10,411
10,411
10,412
10,412
10,411
10,411
10,414
10,412
10,410
10,412
10,415
10,415
10,417
10,416
10,418
10,418
10,419
10,419
10,419
10,421
10,421
10,423
10,425
10,421
10,422
10,421
10,420
10,420
10,419
10,419
10,418
10,418
10,416
10,419
10,417
10,415
10,416
10,416
10,417
10,415
10,416
10,416
10,416
10,415
10,413
10,415
10,414
10,414
10,412
10,414
10,414
10,412
10,413
10,414
10,414
10,412
10,413
10,414
10,416
10,414
10,415
10,415
10,415
10,417
10,416
10,417
10,416
10,417
10,419
10,420
10,421
10,422
10,421
10,421
10,423
10,425
10,422
10,425
10,427
10,432
10,430
10,430
10,428
10,428
10,426
10,426
10,430
10,431
10,432
10,431
10,428
10,425
10,426
10,425
10,425
10,426
10,424
10,423
10,424
10,423
10,425
10,422
10,422
10,426
10,432
10,438
10,443
10,446
10,446
10,439
10,448
10,450
10,446
10,453
10,456
10,457
10,449
10,446
11,451
11,453
11,453
11,452
11,450
11,449
11,473
11,466
11,450
11,438
11,438
11,438
11,439
11,443
11,451
11,454
11,455
11,453
11,450
11,451
11,449
11,454
11,459
11,457
11,450
11,449
11,446
11,451
11,449
11,453
11,457
11,465
11,470
11,470
11,473
11,474
11,490
11,479
11,460
11,458
11,462
11,466
11,464
11,468
11,470
11,465
11,464
11,467
11,473
11,478
11,487
11,489
11,496
11,483
11,479
11,476
11,478
11,473
