day,co2_ppm
Fri,467
Fri,467
Fri,469
Fri,474
Fri,477
Fri,480
Fri,484
Fri,487
Fri,488
Fri,484
Fri,490
Fri,488
Fri,492
Fri,497
Fri,502
Fri,507
Fri,509
Fri,504
Fri,503
Fri,492
Fri,500
Fri,502
Fri,492
Fri,475
Fri,462
Fri,460
Fri,462
Fri,465
Fri,450
Fri,442
Fri,439
Fri,440
Fri,444
Fri,444
Fri,449
Fri,457
Fri,470
Fri,483
Fri,488
Fri,487
Fri,490
Fri,502
Fri,498
Fri,491
Fri,482
Fri,480
Fri,484
Fri,481
Fri,473
Fri,466
Fri,461
Fri,445
Fri,444
Fri,443
Fri,445
Fri,448
Fri,448
Fri,448
Fri,451
Fri,448
Fri,446
Fri,449
Fri,448
Fri,443
Fri,443
Fri,437
Fri,436
Fri,439
Fri,439
Fri,439
Fri,434
Fri,433
Fri,438
Fri,430
Fri,428
Fri,427
Fri,429
Fri,429
Fri,427
Fri,429
Fri,427
Fri,430
Fri,436
Fri,440
Fri,445
Fri,450
Fri,455
Fri,460
Fri,463
Fri,465
Fri,477
Fri,482
Fri,492
Fri,478
Fri,487
Fri,493
Fri,495
Fri,508
Fri,514
Fri,511
Fri,519
Fri,516
Fri,522
Fri,522
Fri,517
Fri,512
Fri,520
Fri,517
Fri,521
Fri,529
Fri,533
Fri,523
Fri,528
Fri,530
Fri,534
Fri,530
Fri,529
Fri,537
Fri,539
Fri,536
Fri,528
Fri,528
Fri,525
Fri,512
Fri,522
Fri,528
Fri,539
Fri,531
Fri,526
Fri,533
Fri,545
Fri,541
Fri,535
Fri,525
Fri,519
Fri,476
Fri,481
Fri,485
Fri,486
Fri,490
Fri,489
Fri,476
Fri,468
Fri,474
Fri,467
Fri,467
Fri,469
Fri,474
Fri,477
Fri,480
Fri,484
Fri,487
Fri,488
Fri,484
Fri,490
Fri,488
Fri,492
Fri,497
Fri,502
Fri,507
Fri,509
Fri,504
Fri,503
Fri,492
Fri,500
Fri,502
Fri,492
Fri,475
Fri,462
Fri,460
Fri,462
Fri,465
Fri,450
Fri,442
Fri,439
Fri,440
Fri,444
Fri,444
Fri,449
Fri,457
Fri,470
Fri,483
Fri,488
Fri,487
Fri,490
Fri,502
Fri,498
Fri,491
Fri,482
Fri,480
Fri,484
Fri,481
Fri,473
Fri,466
Fri,461
Fri,445
Fri,444
Fri,443
Fri,445
Fri,448
Fri,448
Fri,448
Fri,451
Fri,448
Fri,446
Fri,449
Fri,448
Fri,443
Fri,443
Fri,437
Fri,436
Fri,439
Fri,439
Fri,439
Fri,434
Fri,433
Fri,438
Fri,430
Fri,428
Fri,427
Fri,429
Fri,429
Fri,427
Fri,429
Fri,427
Fri,430
Fri,436
Fri,440
Fri,445
Fri,450
Fri,455
Fri,460
Fri,463
Fri,465
Fri,477
Fri,482
Fri,492
Fri,478
Fri,487
Fri,493
Fri,495
Fri,508
Fri,514
Fri,511
Fri,519
Fri,516
Fri,522
Fri,522
Fri,517
Fri,512
Fri,520
Fri,517
Fri,521
Fri,529
Fri,533
Fri,523
Fri,528
Fri,530
Fri,534
Fri,530
Fri,529
Fri,537
Fri,539
Fri,536
Fri,528
Fri,528
Fri,525
Fri,512
Fri,522
Fri,528
Fri,539
Fri,531
Fri,526
Fri,533
Fri,545
Fri,541
Fri,535
Fri,525
Fri,519
Sat,499
Sat,476
Sat,471
Sat,470
Sat,465
Sat,460
Sat,472
Sat,476
Sat,469
Sat,475
Sat,474
Sat,470
Sat,476
Sat,481
Sat,474
Sat,484
Sat,492
Sat,490
Sat,477
Sat,470
Sat,470
Sat,466
Sat,466
Sat,471
Sat,481
Sat,478
Sat,472
Sat,462
Sat,463
Sat,462
Sat,457
Sat,456
Sat,461
Sat,461
Sat,463
Sat,468
Sat,478
Sat,478
Sat,486
Sat,477
Sat,468
Sat,453
Sat,439
Sat,435
Sat,433
Sat,433
Sat,433
Sat,432
Sat,428
Sat,428
Sat,427
Sat,425
Sat,423
Sat,423
Sat,420
Sat,420
Sat,422
Sat,419
Sat,419
Sat,419
Sat,418
Sat,419
Sat,419
Sat,422
Sat,422
Sat,422
Sat,421
Sat,420
Sat,420
Sat,420
Sat,422
Sat,423
Sat,423
Sat,424
Sat,423
Sat,422
Sat,423
Sat,423
Sat,424
Sat,424
Sat,423
Sat,422
Sat,424
Sat,424
Sat,423
Sat,424
Sat,423
Sat,426
Sat,424
Sat,427
Sat,428
Sat,428
Sat,424
Sat,423
Sat,424
Sat,422
Sat,427
Sat,430
Sat,434
Sat,438
Sat,439
Sat,425
Sat,427
Sat,428
Sat,431
Sat,433
Sat,436
Sat,435
Sat,433
Sat,432
Sat,432
Sat,435
Sat,434
Sat,436
Sat,436
Sat,447
Sat,449
Sat,445
